,id,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,gps_code
11820,38801,heliport,Dines (Doctor E. Escudero) Heliport,AR,-34.57257,-58.40045,19.0,
11821,42802,small_airport,Agrocelta Servicios Aereos Airport,AR,-33.8867,-60.8628,269.0,
11822,38803,small_airport,Saavedra Airport,AR,-37.750242,-62.33425,1040.0,
11823,38804,heliport,Ecodyma S.C.A. Heliport,AR,-34.9408,-57.9919,45.0,
11824,38805,small_airport,Eduardo Castex Airport,AR,-35.8805541992,-64.2738876343,600.0,
11825,38806,small_airport,El Alamito Airport,AR,-37.27361297607422,-70.38972473144531,3576.0,
11826,38807,small_airport,Establecimiento El Araza Airport,AR,-36.7756,-57.6414,305.0,
11827,38808,heliport,El Capricho Heliport,AR,-34.2325,-59.3158,98.0,
11828,38809,small_airport,El Corcovado Airport,AR,-43.533599853515625,-71.48470306396484,1968.0,
11829,38810,small_airport,El Gaucho Airport,AR,-32.6294,-61.5444,344.0,
11830,38811,balloonport,El Manantial Airport,AR,-35.1943,-58.3594,49.0,
11831,38812,small_airport,El Pajaro Airport,AR,-34.823537,-58.316307,52.0,
11832,38813,small_airport,El Pampero Airport,AR,-36.5928001404,-64.1866989136,583.0,
11833,38814,small_airport,El Trebol Airport,AR,-32.2153,-61.7161,301.0,SAFT
11834,38815,closed,Elizalde Airport,AR,-34.975122,-57.963396,22.0,
11835,38816,small_airport,Esperanza Airport,AR,-31.4736,-60.8447,124.0,
11836,38817,small_airport,Esquina Airport,AR,-30.0489,-59.5353,127.0,
11837,38818,small_airport,Estancia Don Roberto Airport,AR,-34.0013999939,-65.366897583,1430.0,
11838,38819,heliport,Estancia Haychol Heliport,AR,-38.6481,-70.6775,3447.0,
11839,38820,heliport,Estancia La Candelaria Heliport,AR,-40.0442,-71.3664,2997.0,
11840,38821,heliport,Estancia La Chacota Heliport,AR,-35.9133,-62.6417,295.0,
11841,38822,small_airport,Estancia La Choza Airport,AR,-30.5389,-58.2928,236.0,
11842,38823,small_airport,Estancia La Laurita Airport,AR,-44.7761116027832,-70.1963882446289,1834.0,
11843,38824,small_airport,Estancia Llamuco Airport,AR,-38.79944610595703,-70.43472290039062,3924.0,
11844,38825,small_airport,Estancia Los Cardos Airport,AR,-37.7356,-58.0342,393.0,SA2Q
11845,38826,small_airport,Estancia Nueva Lubecka Airport,AR,-44.44194412231445,-70.44222259521484,2021.0,
11846,38827,heliport,Estancia Palitue Heliport,AR,-39.8528,-71.0464,2817.0,
11847,38828,small_airport,Estancia San Juan Airport,AR,-29.6028,-58.0281,268.0,
11848,38829,small_airport,Estancia San Ramón Airport,AR,-50.303495,-69.926057,1226.0,
11849,38830,small_airport,Estancia Santa Ana Airport,AR,-51.680841,-71.9652,665.0,
11850,38831,heliport,Estancia Santa Isabel Heliport,AR,-39.8847,-70.5136,3116.0,
11851,38832,small_airport,Estindher Airport,AR,-33.0931015015,-64.42919921880001,1531.0,
11852,38833,small_airport,Ezpeleta Airport,AR,-34.7464,-58.2033,9.0,
11853,38834,heliport,Finca Las Costas Heliport,AR,-24.7703,-65.4956,4300.0,
11854,38835,small_airport,Firmat Aeroclub Airport,AR,-33.4289,-61.5108,344.0,
11855,38836,small_airport,Aeródromo sede del Aeroclub Formosa,AR,-26.3014,-58.2983,229.0,
11856,38837,small_airport,Fortín De Gainza Airport,AR,-34.5494,-63.1225,426.0,
11857,38838,heliport,Fuerza Aérea(Edificio Cóndor) Heliport,AR,-34.5858,-58.3681,19.0,
11858,38839,small_airport,Fumigaciones Stadler Airport,AR,-32.5786,-60.9119,121.0,
11859,38840,small_airport,Galvez Airport,AR,-32.0322,-61.1758,173.0,
11860,38841,small_airport,General Alvear Aeroclub Airport,AR,-34.9730987549,-67.7236022949,1528.0,
11861,38842,small_airport,General Belgrano Airport,AR,-35.7519,-58.4633,39.0,
11862,38843,small_airport,General Deheza Airport,AR,-32.745300293,-63.7957992554,898.0,
11863,38844,small_airport,General La Madrid Airport,AR,-37.226261,-61.279101,560.0,SA6B
11864,38845,small_airport,General Las Heras Aeroclub,AR,-34.9206,-58.9164,114.0,
11865,38846,small_airport,General Levalle Airport,AR,-34.0038871765,-63.9308319092,614.0,
11866,38847,small_airport,General Madariaga Airport,AR,-37.0392,-57.1372,22.0,
11867,38848,small_airport,General Pìnedo Airport,AR,-27.3394,-61.2744,298.0,
11868,38849,small_airport,General Pinto Airport,AR,-34.7861,-61.9142,318.0,
11869,38850,closed,General Rodriguez Airport,AR,-34.497234,-59.037457,98.0,
11870,38851,small_airport,Los Toldos Airport,AR,-34.97726,-61.020942,236.0,
11871,38852,small_airport,Gobernador Crespo Aeroclub Airport,AR,-30.3878,-60.3656,170.0,
11872,38853,small_airport,Gobernador Santillán Airport,AR,-27.90139961242676,-64.24970245361328,689.0,
11873,38854,small_airport,Gomez Airport,AR,-35.0956,-58.0853,62.0,
11874,38855,small_airport,Gonzalez Chaves Airport,AR,-38.02949,-60.135654,636.0,SA6R
11875,38856,small_airport,Goya Aeroclub,AR,-29.1678,-59.2464,124.0,
11876,38857,small_airport,Guadalupe Airport,AR,-31.584,-60.668,59.0,
11877,38858,small_airport,Gualeguay Airport,AR,-33.1036109924,-59.3747215271,39.0,
11878,38859,small_airport,Agro Aereo Gualeguay Airport,AR,-33.0386,-59.4383,52.0,
11879,38860,heliport,Helicenter Heliport,AR,-34.497565,-58.606905,113.0,
11880,38861,heliport,Heliplataforma Am I Heliport,AR,-52.5192,-68.3858,98.0,
11881,38862,heliport,Heliplataforma Carina/Total Fina ELF,AR,-52.7572,-67.2194,30.0,
11882,38863,heliport,Heliplataforma/Am-2 Heliport,AR,-52.5489,-68.3125,134.0,
11883,38864,heliport,Heliplataforma/Am3 Heliport,AR,-52.5228,-68.2808,134.0,
11884,38865,heliport,Heliplataforma/Am5 Heliport,AR,-52.5706,-68.2533,98.0,
11885,38866,heliport,Heliplataforma/Rio Cullen-Hidra Norte Heliport,AR,-52.8206,-68.2192,65.0,
11886,38867,heliport,Heliwest Heliport,AR,-34.6336,-58.7511,71.0,
